n,m,n_wind,total_energy,total_time
10,20,1,11185.405213446273,200.4224922657013
20,20,1,11404.799999999997,202.22681140899658
10,20,36,19221.444484114025,200.2706961631775
20,20,36,19437.5157538292,202.2409520149231
10,30,1,15739.570080750616,200.37292551994324
20,30,1,16774.372899491333,202.25761461257935
10,30,36,27443.339832063684,200.45515942573547
20,30,36,28023.58597081735,201.79200506210327
10,40,1,19265.2135261008,200.32237434387207
20,40,1,21947.001354387237,404.7568905353546
10,40,36,34900.45803093269,200.45014572143555
20,40,36,35693.351071761164,202.11583733558655
